Key,en,es,ar,fr,hi
Onboard screen status updated successfully!,Onboard screen status updated successfully!,¡El estado de la pantalla integrada se actualizó correctamente!,تم تحديث حالة الشاشة على متن الطائرة بنجاح!,Écran de démarrage mis à jour avec succès !,ऑनबोर्ड स्क्रीन स्थिति सफलतापूर्वक अपडेट की गई!
Screen deleted successfully!,Screen deleted successfully!,¡Pantalla eliminada exitosamente!,تم حذف الشاشة بنجاح!,Paramètres d'URL mis à jour avec succès !,स्क्रीन सफलतापूर्वक हटा दी गई!
Splash screen updated successfully!,Splash screen updated successfully!,¡La pantalla de bienvenida se actualizó correctamente!,تم تحديث شاشة البداية بنجاح!,Configuration de diffusion mise à jour avec succès !,स्पलैश स्क्रीन सफलतापूर्वक अपडेट की गई!
URL settings updated successfully!,URL settings updated successfully!,¡La configuración de URL se actualizó correctamente!,تم تحديث إعدادات URL بنجاح!,Section mise à jour avec succès !,यूआरएल सेटिंग्स सफलतापूर्वक अपडेट की गईं!
Broadcast configuration updated successfully!,Broadcast configuration updated successfully!,¡La configuración de transmisión se actualizó exitosamente!,تم تحديث تكوين البث بنجاح!,Élément de campagne ajouté avec succès !,प्रसारण कॉन्फ़िगरेशन सफलतापूर्वक अपडेट किया गया!
Section updated successfully!,Section updated successfully!,¡Sección actualizada exitosamente!,تم تحديث القسم بنجاح!,Élément de campagne mis à jour avec succès !,अनुभाग सफलतापूर्वक अपडेट किया गया!
Campaign item added successfully!,Campaign item added successfully!,¡Artículo de campaña agregado exitosamente!,تمت إضافة عنصر الحملة بنجاح!,Les campagnes ont été supprimées avec succès !,अभियान आइटम सफलतापूर्वक जोड़ा गया!
Campaign item updated successfully!,Campaign item updated successfully!,¡Artículo de campaña actualizado exitosamente!,تم تحديث عنصر الحملة بنجاح!,Statut de la campagne mis à jour avec succès !,अभियान आइटम सफलतापूर्वक अपडेट किया गया!
Campaigns delete successfully!,Campaigns delete successfully!,¡Las campañas se eliminan correctamente!,تم حذف الحملات بنجاح!,E-mail envoyé avec succès,अभियान सफलतापूर्वक हटाए गए!
Campaign status updated successfully!,Campaign status updated successfully!,¡El estado de la campaña se actualizó exitosamente!,تم تحديث حالة الحملة بنجاح!,Message de contact supprimé avec succès !,अभियान स्थिति सफलतापूर्वक अपडेट की गई!
Email successfully sended,Email successfully sended,Correo electrónico enviado correctamente,تم إرسال البريد الإلكتروني بنجاح,Les notifications sont effacées avec succès !,ईमेल सफलतापूर्वक भेजा गया
Contact Message delete successfully!,Contact Message delete successfully!,Contacto ¡Eliminación del mensaje exitosamente!,تم حذف رسالة الاتصال بنجاح!,Demande de don approuvée avec succès,संपर्क संदेश सफलतापूर्वक हटा दिया गया!
Notifications clear successfully!,Notifications clear successfully!,¡Las notificaciones se borran correctamente!,تم مسح الإخطارات بنجاح!,Demande de don rejetée avec succès,सूचनाएं सफलतापूर्वक साफ़ हो गईं!
Donation request approved successfully,Donation request approved successfully,Solicitud de donación aprobada con éxito,تمت الموافقة على طلب التبرع بنجاح,Événement ajouté avec succès !,दान अनुरोध सफलतापूर्वक स्वीकृत हो गया
Donation request rejected successfully,Donation request rejected successfully,Solicitud de donación rechazada exitosamente,تم رفض طلب التبرع بنجاح,Événement mis à jour avec succès !,दान अनुरोध सफलतापूर्वक अस्वीकार कर दिया गया
Event added successfully!,Event added successfully!,¡Evento agregado exitosamente!,تمت إضافة الحدث بنجاح!,Enregistrement d'événement introuvable dans notre système,ईवेंट सफलतापूर्वक जोड़ा गया!
Event updated successfully!,Event updated successfully!,¡Evento actualizado exitosamente!,تم تحديث الحدث بنجاح!,L'événement a été supprimé avec succès !,इवेंट सफलतापूर्वक अपडेट किया गया!
Event record not found in our system,Event record not found in our system,Registro de evento no encontrado en nuestro sistema,سجل الحدث غير موجود في نظامنا,Langue mise à jour avec succès !,हमारे सिस्टम में इवेंट रिकॉर्ड नहीं मिला
Event delete successfully!,Event delete successfully!,¡El evento se eliminó correctamente!,تم حذف الحدث بنجاح!,Changement de langue réussi !,ईवेंट सफलतापूर्वक हटा दिया गया!
Language updated successfully!,Language updated successfully!,¡Idioma actualizado exitosamente!,تم تحديث اللغة بنجاح!,Informations sur le profil mises à jour avec succès !,भाषा सफलतापूर्वक अपडेट की गई!
Language switch successfully!,Language switch successfully!,¡Cambio de idioma exitoso!,تبديل اللغة بنجاح!,Paramètres de base introuvables !,भाषा परिवर्तन सफलतापूर्वक!
Profile Information Updated Successfully!,Profile Information Updated Successfully!,¡Información de perfil actualizada con éxito!,تم تحديث معلومات الملف الشخصي بنجاح!,Informations mises à jour avec succès !,प्रोफ़ाइल जानकारी सफलतापूर्वक अपडेट की गई!
Basic settings not found!,Basic settings not found!,¡No se encontraron configuraciones básicas!,لم يتم العثور على الإعدادات الأساسية!,L'état de la page de configuration a été mis à jour avec succès !,बुनियादी सेटिंग्स नहीं मिलीं!
Information updated successfully!,Information updated successfully!,¡Información actualizada exitosamente!,تم تحديث المعلومات بنجاح!,À propos de l'article ajouté avec succès !,जानकारी सफलतापूर्वक अपडेट की गई!
Setup Page status updated successfully!,Setup Page status updated successfully!,¡El estado de la página de configuración se actualizó exitosamente!,تم تحديث حالة صفحة الإعداد بنجاح!,Élément de section ajouté avec succès !,सेटअप पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!
About item added successfully!,About item added successfully!,¡Acerca del artículo agregado exitosamente!,تمت إضافة العنصر بنجاح!,L'élément de section a été supprimé avec succès !,सफलतापूर्वक जोड़े गए आइटम के बारे में!
Section item added successfully!,Section item added successfully!,¡El artículo de la sección se agregó correctamente!,تمت إضافة عنصر القسم بنجاح!,Section Partenaire mise à jour avec succès !,अनुभाग आइटम सफलतापूर्वक जोड़ा गया!
Section item delete successfully!,Section item delete successfully!,¡El elemento de la sección se eliminó correctamente!,تم حذف عنصر القسم بنجاح!,Élément de section introuvable !,अनुभाग आइटम सफलतापूर्वक हटा दिया गया!
Partner Section updated successfully!,Partner Section updated successfully!,¡La sección de socios se actualizó exitosamente!,تم تحديث قسم الشركاء بنجاح!,Catégorie enregistrée avec succès !,पार्टनर अनुभाग सफलतापूर्वक अपडेट किया गया!
Section item not found!,Section item not found!,¡Artículo de sección no encontrado!,لم يتم العثور على عنصر القسم!,Catégorie mise à jour avec succès !,अनुभाग आइटम नहीं मिला!
Category Saved Successfully!,Category Saved Successfully!,¡Categoría guardada exitosamente!,تم حفظ الفئة بنجاح!,Statut de la catégorie mis à jour avec succès !,श्रेणी सफलतापूर्वक सहेजी गई!
Category Updated Successfully!,Category Updated Successfully!,¡Categoría actualizada con éxito!,تم تحديث الفئة بنجاح!,FAQ enregistrée avec succès !,श्रेणी सफलतापूर्वक अपडेट की गई!
Category status updated successfully!,Category status updated successfully!,¡El estado de la categoría se actualizó exitosamente!,تم تحديث حالة الفئة بنجاح!,Statut de la FAQ mis à jour avec succès !,श्रेणी स्थिति सफलतापूर्वक अपडेट की गई!
Faq Saved Successfully!,Faq Saved Successfully!,¡Preguntas frecuentes guardadas correctamente!,تم حفظ الأسئلة الشائعة بنجاح!,FAQ supprimée avec succès !,एफएक्यू सफलतापूर्वक सहेजा गया!
Faq status updated successfully!,Faq status updated successfully!,¡El estado de las preguntas frecuentes se actualizó exitosamente!,تم تحديث حالة الأسئلة الشائعة بنجاح!,L'abonné a été supprimé avec succès !,अक्सर पूछे जाने वाले प्रश्न स्थिति सफलतापूर्वक अपडेट की गई!
Faq deleted successfully!,Faq deleted successfully!,¡Preguntas frecuentes eliminadas correctamente!,تم حذف الأسئلة الشائعة بنجاح!,Échec du changement d'état en actif !,Faq सफलतापूर्वक हटा दिया गया!
Subscriber delete successfully!,Subscriber delete successfully!,¡Eliminación del suscriptor exitosamente!,تم حذف المشترك بنجاح!,Succès,सब्सक्राइबर सफलतापूर्वक हटा दिया गया!
Failed to change status to active!,Failed to change status to active!,¡No se pudo cambiar el estado a activo!,فشل تغيير الحالة إلى نشطة!,Page ajoutée avec succès !,स्थिति को सक्रिय में बदलने में विफल!
Success,Success,Éxito,نجاح,Page mise à jour avec succès !,सफलता
Page added successfully!,Page added successfully!,¡Página agregada exitosamente!,تمت إضافة الصفحة بنجاح!,Enregistrement de page introuvable dans notre système,पेज सफलतापूर्वक जोड़ा गया!
Page updated successfully!,Page updated successfully!,¡Página actualizada exitosamente!,تم تحديث الصفحة بنجاح!,Statut de la page mis à jour avec succès !,पेज सफलतापूर्वक अपडेट किया गया!
Page record not found in our system,Page record not found in our system,Registro de página no encontrado en nuestro sistema,سجل الصفحة غير موجود في نظامنا,Page supprimée avec succès !,हमारे सिस्टम में पेज रिकॉर्ड नहीं मिला
Page status updated successfully!,Page status updated successfully!,¡El estado de la página se actualizó exitosamente!,تم تحديث حالة الصفحة بنجاح!,Utilisateur actif,पृष्ठ स्थिति सफलतापूर्वक अपडेट की गई!
Page deleted successfully!,Page deleted successfully!,¡Página eliminada exitosamente!,تم حذف الصفحة بنجاح!,L'utilisateur KYC a été approuvé avec succès,पेज सफलतापूर्वक हटा दिया गया!
Active User,Active User,Usuario activo,مستخدم نشط,Informations KYC de l'utilisateur introuvables,सक्रिय उपयोगकर्ता
User KYC successfully approved,User KYC successfully approved,Usuario KYC aprobado exitosamente,تمت الموافقة على KYC للمستخدم بنجاح,Portefeuille utilisateur introuvable !,उपयोगकर्ता केवाईसी सफलतापूर्वक स्वीकृत
User KYC information not found,User KYC information not found,Información KYC del usuario no encontrada,لم يتم العثور على معلومات KYC الخاصة بالمستخدم,Succès des transactions,उपयोगकर्ता केवाईसी जानकारी नहीं मिली
User wallet not found!,User wallet not found!,¡No se encontró la billetera del usuario!,لم يتم العثور على محفظة المستخدم!,Paramètres de base mis à jour avec succès !,उपयोगकर्ता वॉलेट नहीं मिला!
Transaction success,Transaction success,Éxito de la transacción,نجاح الصفقة,Vous devez d'abord configurer votre messagerie système,लेन-देन सफल
Basic settings updated successfully!,Basic settings updated successfully!,¡La configuración básica se actualizó correctamente!,تم تحديث الإعدادات الأساسية بنجاح!,Veuillez d'abord configurer le champ KYC. Accédez à la page [Configurer KYC] dans la barre latérale,बुनियादी सेटिंग्स सफलतापूर्वक अपडेट की गईं!
You have to configure your system mail first,You have to configure your system mail first,Primero debes configurar el correo de tu sistema.,يجب عليك تكوين بريد النظام الخاص بك أولاً,Paramètre de base introuvable ! Veuillez exécuter le semoir de base de données,आपको पहले अपना सिस्टम मेल कॉन्फ़िगर करना होगा
Please setup KYC field first. Go to [Setup KYC] page from sidebar,Please setup KYC field first. Go to [Setup KYC] page from sidebar,Primero configure el campo KYC. Vaya a la página [Configurar KYC] desde la barra lateral,يرجى إعداد حقل KYC أولاً. انتقل إلى صفحة [Setup KYC] من الشريط الجانبي,Les éléments d'image ont été mis à jour avec succès !,कृपया पहले केवाईसी फ़ील्ड सेटअप करें। साइडबार से [सेटअप केवाईसी] पेज पर जाएं
Basic setting not found! Please run database seeder,Basic setting not found! Please run database seeder,¡Configuración básica no encontrada! Ejecute el sembrador de base de datos.,لم يتم العثور على الإعداد الأساسي! الرجاء تشغيل بذارة قاعدة البيانات,Informations SEO mises à jour avec succès !,मूल सेटिंग नहीं मिली! कृपया डेटाबेस सीडर चलाएँ
Image assets updated successfully!,Image assets updated successfully!,¡Los recursos de imagen se actualizaron correctamente!,تم تحديث أصول الصورة بنجاح!,Vous n'avez pas de compte ?,छवि परिसंपत्तियाँ सफलतापूर्वक अपडेट की गईं!
SEO information updated successfully!,SEO information updated successfully!,¡Información SEO actualizada con éxito!,تم تحديث معلومات تحسين محركات البحث (SEO) بنجاح!,Montant collecté de tous les temps,एसईओ जानकारी सफलतापूर्वक अपडेट की गई!
Don't Have An Account?,Don't Have An Account?,¿No tienes una cuenta?,ليس لديك حساب؟,Passerelle de paiement,कोई खाता नहीं है?
All Time Raised Amount,All Time Raised Amount,Monto recaudado todos los tiempos,المبلغ الذي تم رفعه في كل الأوقات,Disponible,सर्वकालिक जुटाई गई राशि
Payment Gateway,Payment Gateway,Pasarela de pago,بوابة الدفع,Entrez votre nom,भुगतान गेटवे
Available,Available,Disponible,متاح,Entrez votre numéro,उपलब्ध
Enter your name,Enter your name,Introduce tu nombre,أدخل اسمك,Sujet,अपना नाम दर्ज करें
Enter your number,Enter your number,Introduce tu número,أدخل رقمك,Entrez votre message,अपना नंबर दर्ज करें
Subject,Subject,Sujeto,موضوع,En attente,विषय
Enter your message,Enter your message,Introduce tu mensaje,أدخل رسالتك,Rejeté,अपना संदेश दर्ज करें
Pending,Pending,Pendiente,قيد الانتظار,En attendant,लंबित
Rejected,Rejected,Rechazado,مرفوض,Limite,अस्वीकार कर दिया
Waiting,Waiting,Espera,منتظر,Transactions et journaux,इंतज़ार में
Limit,Limit,Límite,حد,Panneau d'interface,आप LIMIT
Transactions & Logs,Transactions & Logs,Transacciones y registros,المعاملات والسجلات,Hachage Tnx,लेन-देन और लॉग
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Hachage de transaction,इंटरफ़ेस पैनल
Tnx hash,Tnx hash,hash tnx,تجزئة Tnx,Hachage des transactions,टीएनएक्स हैश
Transaction Hash Hash,Transaction Hash Hash,Hash de transacción Hash,تجزئة المعاملات,Entrez le mot de passe,लेनदेन हैश हैश
Transaction Hash,Transaction Hash,Hash de transacción,تجزئة الصفقة,Entrez le prénom,लेनदेन हैश
Enter Password,Enter Password,Ingrese la contraseña,أدخل كلمة المرور,Entrez le nom de famille,पास वर्ड दर्ज करें
Enter First Name,Enter First Name,Introduzca el nombre,أدخل الاسم الأول,Pays,प्रथम नाम दर्ज करें
Enter Last Name,Enter Last Name,Ingrese el apellido,أدخل الاسم الأخير,État,अंतिम नाम दर्ज करो
Country,Country,País,دولة,Entrez l'état,देश
State,State,Estado,ولاية,Ville,राज्य
Enter State,Enter State,Ingresar estado,أدخل الولاية,Entrez la ville,राज्य दर्ज करें
City,City,Ciudad,مدينة,Code postal,शहर
Enter city,Enter city,Introduce la ciudad,أدخل المدينة,Entrez le code postal,शहर में प्रवेश करें
Zip Code,Zip Code,Código postal,الرمز البريدي,Adresse,ज़िप कोड
Enter Zip,Enter Zip,Ingresar código postal,أدخل الرمز البريدي,Entrez l'adresse,ज़िप दर्ज करें
Address,Address,DIRECCIÓN,عنوان,Développé par,पता
Enter Address,Enter Address,Introduzca la dirección,أدخل العنوان,Complété,पता दर्ज करें
Developed by,Developed by,Desarrollado por,تم تطويره بواسطة,Annulé,द्वारा विकसित किया गया
Completed,Completed,Terminado,مكتمل,Prise,पुरा होना।
Canceled,Canceled,Cancelado,تم الإلغاء,Tous,रद्द किया गया
Hold,Hold,Sostener,يمسك,Interdit,पकड़ना
All,All,Todo,الجميع,1 semaine,सभी
Banned,Banned,Prohibido,محظور,1 mois,प्रतिबंधित
1 week,1 week,1 semana,1 أسبوع,1 an,1 सप्ताह
1 month,1 month,1 mes,شهر واحد,#REF!,1 महीना
1 year,1 year,1 año,1 سنة,Titre,1 वर्ष
Heading,Heading,Título,عنوان,Image,शीर्षक
Description,Description,Descripción,وصف,Activer,विवरण
Image,Image,Imagen,صورة,Désactiver,छवि
Enable,Enable,Permitir,يُمكَِن,Balises,सक्षम
Disable,Disable,Desactivar,إبطال,Drapeau du pays,अक्षम करना
Tags,Tags,Etiquetas,العلامات,Modifier la devise,टैग
Country Flag,Country Flag,Bandera del país,علم الدولة,Taux,देश का झंडा
Edit Currency,Edit Currency,Editar moneda,تحرير العملة,Détails,मुद्रा संपादित करें
Rate,Rate,Tasa,معدل,Modifier l'événement,दर
Details,Details,Detalles,تفاصيل,Total des transactions,विवरण
Edit Event,Edit Event,Editar evento,تحرير الحدث,Total Ajouter de l'argent,इवेंट संपादित करें
Total Transactions,Total Transactions,Transacciones totales,إجمالي المعاملات,Présentation de l'utilisateur,कुल लेनदेन
Total Add Money,Total Add Money,Total agregar dinero,إجمالي إضافة المال,Ajouter/soustraire le solde,कुल पैसा जोड़ें
User Overview,User Overview,Descripción general del usuario,نظرة عامة على المستخدم,Journaux de connexion,उपयोगकर्ता अवलोकन
Add/Subtract Balance,Add/Subtract Balance,Sumar/Restar Saldo,إضافة/طرح الرصيد,Connectez-vous en tant que membre,शेष जोड़ें/घटाएँ
Login Logs,Login Logs,Registros de inicio de sesión,سجلات تسجيل الدخول,Journaux de courrier électronique,लॉगइन लॉग्स
Login as Member,Login as Member,Iniciar sesión como miembro,تسجيل الدخول كعضو,Dernière connexion,सदस्य के रूप में लॉगिन करें
Email Logs,Email Logs,Registros de correo electrónico,سجلات البريد الإلكتروني,Zip/Poste,ईमेल लॉग्स
Last Login,Last Login,Último inicio de sesión,تسجيل الدخول الأخير,Numéro de téléphone,आखरी लॉगइन
Zip/Postal,Zip/Postal,Código postal/correo postal,الرمز البريدي/البريدي,Statut de l'utilisateur,ज़िप/डाक
Phone Number,Phone Number,Número de teléfono,رقم التليفون,Vérification 2FA,फ़ोन नंबर
User Status,User Status,Estado de usuario,حالة المستخدم,Écrivez ici...,उपयोगकर्ता स्थिति
2FA Verification,2FA Verification,Verificación 2FA,التحقق 2FA,Sélectionnez le type,2एफए सत्यापन
Write Here...,Write Here...,Escribe aquí...,أكتب هنا...,Solde Ajouter,यहाँ लिखें...
Select Type,Select Type,Seleccionar tipo,حدد النوع,Soustraire le solde,प्रकार चुनें
Balance Add,Balance Add,Agregar saldo,إضافة الرصيد,Sélectionnez le portefeuille utilisateur,शेष राशि जोड़ें
Balance Subtract,Balance Subtract,Resta de saldo,طرح الرصيد,Remarque,शेष घटाना
Select User Wallet,Select User Wallet,Seleccionar billetera de usuario,حدد محفظة المستخدم,Envoyer,उपयोगकर्ता वॉलेट का चयन करें
Remark,Remark,Observación,ملاحظة,Sélectionnez les utilisateurs,टिप्पणी
Send,Send,Enviar,يرسل,Kyc non vérifié,भेजना
Select Users,Select Users,Seleccionar usuarios,حدد المستخدمين,Utilisateur,उपयोगकर्ता चुनें
Kyc Unverified,Kyc Unverified,Kyc no verificado,لم يتم التحقق من Kyc,Approuver,केवाईसी असत्यापित
User,User,Usuario,مستخدم,Rejeter,उपयोगकर्ता
Approve,Approve,Aprobar,يعتمد,Informations KYC non encore soumises,मंज़ूरी देना
Reject,Reject,Rechazar,يرفض,SL,अस्वीकार करना
KYC Information not submitted yet,KYC Information not submitted yet,Información KYC aún no enviada,لم يتم تقديم معلومات KYC بعد,IP,केवाईसी जानकारी अभी तक जमा नहीं की गई है
SL,SL,SL,إس إل,MAC,क्र
IP,IP,IP,الملكية الفكرية,Emplacement,आई पी
MAC,MAC,IMPERMEABLE,ماك,Navigateur | Système d'exploitation,मैक
Location,Location,Ubicación,موقع,Connectez-vous à,जगह
Browser | OS,Browser | OS,Navegador | SO,المتصفح | نظام التشغيل,Expéditeur de courrier (méthode),ब्राउज़र | ओएस
Login at,Login at,Inicia sesión en,تسجيل الدخول في,SL NON,पर लॉगिन करें
Mail Sender(Method),Mail Sender(Method),Remitente de correo (método),مرسل البريد (الطريقة),Nom du rôle,मेल प्रेषक(विधि)
SL NO,SL NO,SL NO,رقم SL,Désigner un administrateur,एसएल नं
Role Name,Role Name,Nombre del rol,اسم الدور,Message de contact,भूमिका का नाम
Asign Admin,Asign Admin,Asignar administrador,تعيين المشرف,Couleur de base du site,व्यवस्थापक नियुक्त करें
Contact Message,Contact Message,Mensaje de contacto,رسالة الاتصال,Expiration du OTP,संपर्क संदेश
Site Base Color,Site Base Color,Color base del sitio,اللون الأساسي للموقع,Secondes,साइट का आधार रंग
OTP Expiration,OTP Expiration,Vencimiento de la OTP,انتهاء صلاحية OTP,Version Web,ओटीपी समाप्ति
Seconds,Seconds,Artículos de segunda clase,ثواني,Nom du site,सेकंड
Web Version,Web Version,Versión Web,نسخة الويب,Écrivez le nom...,वेब संस्करण
Site Name,Site Name,Nombre del sitio,اسم الموقع,Titre du site,जगह का नाम
Write Name...,Write Name...,Escribir nombre...,كتابة الاسم...,Fuseau horaire,नाम लिखें...
Site Title,Site Title,Título del sitio,عنوان الموقع,Sélectionnez le fuseau horaire,घटनास्थल शीर्षक
Timezone,Timezone,Zona horaria,المنطقة الزمنية,Inscription des utilisateurs,समयक्षेत्र
Select Timezone,Select Timezone,Seleccionar zona horaria,حدد المنطقة الزمنية,Mot de passe sécurisé,समयक्षेत्र चुनें
User Registration,User Registration,Registro de usuario,تسجيل المستخدم,Accepter la politique,उपयोगकर्ता पंजीकरण
Secure Password,Secure Password,Contraseña segura,كلمة مرور آمنة,Forcer SSL,सुरक्षित पासवर्ड
Agree Policy,Agree Policy,Política de acuerdo,الموافقة على السياسة,Notification par courrier électronique,सहमत नीति
Force SSL,Force SSL,Forzar SSL,فرض SSL,Notification poussée,एसएसएल को बाध्य करें
Email Notification,Email Notification,Notificación por correo electrónico,إشعار البريد الإلكتروني,Logo (version légère),ईमेल अधिसूचना
Push Notification,Push Notification,Notificación push,دفع الإخطار,Logo (version sombre),सर्वर पुश नोटीफिकेशन
Logo (Light Version),Logo (Light Version),Logotipo (versión ligera),الشعار (النسخة الخفيفة),Icône de favori (version légère),लोगो (हल्का संस्करण)
Logo (Dark Version),Logo (Dark Version),Logotipo (versión oscura),الشعار (الإصدار الداكن),Icône de favori (version sombre),लोगो (डार्क संस्करण)
Favicon (Light Version),Favicon (Light Version),Favicon (versión ligera),الأيقونة المفضلة (الإصدار الخفيف),Image miniature,फ़ेविकॉन (लाइट संस्करण)
Favicon (Dark Version),Favicon (Dark Version),Favicon (versión oscura),الأيقونة المفضلة (الإصدار الداكن),Titre social,फ़ेविकॉन (डार्क संस्करण)
Thumbnail Image,Thumbnail Image,Imagen en miniatura,صورة مصغرة,Description sociale,थंबनेल छवि
Social Title,Social Title,Título social,العنوان الاجتماعي,Ajouter un nouvel écran,सामाजिक शीर्षक
Social Description,Social Description,Descripción social,الوصف الاجتماعي,Version de l'application,सामाजिक विवरण
Add New Screen,Add New Screen,Agregar nueva pantalla,إضافة شاشة جديدة,URL de l'application Android,नई स्क्रीन जोड़ें
App Version,App Version,Versión de la aplicación,إصدار التطبيق,URL de l'application iOS,एप्लिकेशन वेरीज़न
Android App URL,Android App URL,URL de la aplicación de Android,عنوان URL لتطبيق Android,Télécharger,एंड्रॉइड ऐप यूआरएल
iOS App URL,iOS App URL,URL de la aplicación iOS,عنوان URL لتطبيق iOS,Direction,आईओएस ऐप यूआरएल
Download,Download,Descargar,تحميل,Sélectionnable,डाउनलोड करना
Direction,Direction,Dirección,اتجاه,Nom de la langue,दिशा
Selectable,Selectable,Seleccionable,قابل للتحديد,Code de langue,चयन
Language Name,Language Name,Nombre del idioma,اسم اللغة,Langue,भाषा का नाम
Language Code,Language Code,Código de idioma,رمز اللغة,Sélectionnez la langue,भाषा कोड
Language,Language,Idioma,لغة,"Fichier de langue (.xlsx, .csv)",भाषा
Select Language,Select Language,Seleccionar idioma,اختر اللغة,Méthode d'envoi d'e-mail,भाषा चुने
"Language File (.xlsx, .csv)","Language File (.xlsx, .csv)","Archivo de idioma (.xlsx, .csv)",ملف اللغة (.xlsx، .csv),Sélectionnez la méthode,"भाषा फ़ाइल (.xlsx, .csv)"
Email Send Method,Email Send Method,Método de envío de correo electrónico,طريقة إرسال البريد الإلكتروني,Envoyer un courrier,ईमेल भेजने की विधि
Select Method,Select Method,Seleccionar método,حدد الطريقة,Hôte,विधि का चयन करें
Send Mail,Send Mail,Enviar correo,إرسال البريد,Port,मेल भेजने
Host,Host,Anfitrión,يستضيف,Cryptage,मेज़बान
Port,Port,Puerto,ميناء,Image de la première section,पत्तन
Encryption,Encryption,Cifrado,التشفير,Image de la deuxième section,कूटलेखन
First Section Image,First Section Image,Imagen de la primera sección,صورة القسم الأول,Titre (première section),प्रथम खंड छवि
Second Section Image,Second Section Image,Imagen de la segunda sección,صورة القسم الثاني,Titre (première section),दूसरे खंड की छवि
Title (First Section),Title (First Section),Título (Primera Sección),العنوان (القسم الأول),Sous-titre (première section),शीर्षक (प्रथम खंड)
Heading (First Section),Heading (First Section),Encabezado (Primera Sección),العنوان (القسم الأول),Nom du bouton (première section),शीर्षक (प्रथम खंड)
Sub Heading (First Section),Sub Heading (First Section),Subtítulo (Primera Sección),العنوان الفرعي (القسم الأول),Lien du bouton (première section),उप शीर्षक (पहला खंड)
Button Name (First Section),Button Name (First Section),Nombre del botón (primera sección),اسم الزر (القسم الأول),Titre (deuxième section),बटन का नाम (पहला खंड)
Button Link (First Section),Button Link (First Section),Enlace de botón (primera sección),رابط الزر (القسم الأول),Titre (deuxième section),बटन लिंक (पहला खंड)
Title (Second Section),Title (Second Section),Título (Segunda Sección),العنوان (القسم الثاني),Sous-titre (deuxième section),शीर्षक (दूसरा खंड)
Heading (Second Section),Heading (Second Section),Encabezado (Segunda Sección),العنوان (القسم الثاني),Lien vidéo (deuxième section),शीर्षक (दूसरा खंड)
Sub Heading (Second Section),Sub Heading (Second Section),Subtítulo (segunda sección),العنوان الفرعي (القسم الثاني),Ajouter des activités,उप शीर्षक (दूसरा खंड)
Video Link (Second Section),Video Link (Second Section),Enlace de vídeo (segunda sección),رابط الفيديو (القسم الثاني),Image de la bannière,वीडियो लिंक (दूसरा खंड)
Add Activities,Add Activities,Agregar actividades,أضف الأنشطة,Heures de bureau,गतिविधियां जोड़ें
Banner Image,Banner Image,Imagen de banner,صورة البانر,Image d'accueil,बैनर छवि
Office Hours,Office Hours,Horario de oficina,ساعات العمل,Image QR du Play Store,कार्यालय अवधि
Home Image,Home Image,Imagen de inicio,صورة المنزل,Image QR de l’App Store,होम छवि
Play Store QR Image,Play Store QR Image,Imagen QR de Play Store,متجر Play صورة QR,Image Google Play,प्ले स्टोर क्यूआर छवि
App Store QR Image,App Store QR Image,Imagen QR de la tienda de aplicaciones,صورة QR لمتجر التطبيقات,Image de l’App Store,ऐप स्टोर क्यूआर छवि
Google Play Image,Google Play Image,Imagen de Google Play,صورة جوجل بلاي,Sous-titre,गूगल प्ले छवि
App Store Image,App Store Image,Imagen de la tienda de aplicaciones,صورة متجر التطبيقات,Étiqueter,ऐप स्टोर छवि
Sub Heading,Sub Heading,Subtítulo,العنوان الفرعي,Texte du pied de page,उप शीर्षक
Tag,Tag,Etiqueta,علامة,Détails du pied de page,टैग
Footer Text,Footer Text,Texto de pie de página,نص التذييل,Détails du bulletin d'information,पादलेख पाठ
Footer Details,Footer Details,Detalles del pie de página,تفاصيل التذييل,Icône sociale,पाद लेख विवरण
Newsletter Details,Newsletter Details,Detalles del boletín,تفاصيل النشرة الإخبارية,Lien,न्यूज़लैटर विवरण
Social Icon,Social Icon,Icono social,أيقونة الاجتماعية,Lien du bouton,सामाजिक चिह्न
Link,Link,Enlace,وصلة,Nom du bouton,जोड़ना
Button Link,Button Link,Enlace de botón,رابط الزر,Image de connexion,बटन लिंक
Button Name,Button Name,Nombre del botón,اسم الزر,Enregistrer l'image,बटन का नाम
Login Image,Login Image,Imagen de inicio de sesión,صورة تسجيل الدخول,Accepter le titre de la politique,लॉगिन छवि
Register Image,Register Image,Registrar Imagen,تسجيل الصورة,Accepter le lien vers la politique,छवि पंजीकृत करें
Agree Policy Title,Agree Policy Title,Aceptar título de la política,الموافقة على عنوان السياسة,Image 1,सहमत नीति शीर्षक
Agree Policy Link,Agree Policy Link,Aceptar enlace de política,الموافقة على رابط السياسة,Image deux,सहमत नीति लिंक
Image One,Image One,Imagen uno,الصورة الأولى,Image trois,छवि एक
Image Two,Image Two,Imagen dos,الصورة الثانية,Image quatre,छवि दो
Image Three,Image Three,Imagen tres,الصورة الثالثة,"Titre (pour une couleur de titre séparée, utilisez « | » chantez pour diviser)",छवि तीन
Image Four,Image Four,Imagen cuatro,الصورة الرابعة,Ajouter un témoignage,छवि चार
